spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site2_5;2;5;12.0284;-68.2525;Marine park;0;Low shore;430;126;0.025;1;0.5;0;0;4;2.3001;3.773;2.2857;2.6186;1.6022;1;2414.161131;110.6765103
site3_5;3;5;12.03133;-68.2561;Marine park;0;Low shore;430;117.6;12.98;1.3995;9.083333;4.674807;41.27907;22;10.1375;5.1089;3.2153;7.6578;2.8171;0.914861796;5889.740953;2269.417538
site4_5;4;5;12.03378;-68.2604;Marine park;0;Low shore;340;117.6;10.57;1.3545;16.16667;11.07718;32.93391;23;9.0157;5.0726;2.6724;7.6951;2.5587;0.943753777;15237.32312;2217.637725
site5_5;5;5;12.03702;-68.2634;Marine park;0;Low shore;340;151.2;12.78;1.4045;12.41667;15.9989;45.61856;21;12.5415;4.4515;2.8407;7.2979;2.6993;0.765523497;10641.19489;6713.261908
site6_5;6;5;12.04129;-68.2653;Marine park;0;Low shore;340;130.2;11.91;1.005;0.416667;1.485149;0;16;12.7379;4.9315;3.9278;6.478;3.1375;0.975471388;2197.873474;291.2468714
site7_5;7;5;12.04576;-68.2671;Marine park;0;Low shore;350;126;7.87;1.034;1.833333;2.481273;0;12;7.6985;5.0928;4.5817;6.1086;3.1023;0.875277805;2468.389726;41.83059177
site8_5;8;5;12.04942;-68.2697;Marine park;0;Low shore;350;134.4;11.89;1.4005;18.75;16.55425;86.28189;21;12.257;4.6628;3.0696;6.7016;2.6261;0.878958231;7389.239792;3578.536186
site9_5;9;5;12.05306;-68.2732;Marine park;0;Low shore;340;117.6;14.62;1.3025;8.666667;15.6225;100;23;13.4032;5.8663;4.9169;7.7786;3.39;0.885300878;5743.876928;1792.281402
site10_5;10;5;12.05525;-68.277;Marine park;0;Low shore;350;117.6;7.935;1.088;16.83333;6.384396;97.89474;24;4.2208;5.0247;1.7955;7.4672;1.6466;0.946084563;18130.61661;1092.374955
site11_5;11;5;12.05801;-68.2809;Marine park;0;Low shore;330;231;8.45;1.0015;1.666667;0;0;9;1.851;4.4329;1.5706;4.9807;1.4365;0.996732948;23116.05416;318.3288492
site12_5;12;5;12.06243;-68.2815;Marine park;0;Low shore;330;138.6;8.58;1.042;3.25;7.610701;0;13;7.2349;4.5969;4.2432;5.6896;2.851;0.983173149;3203.854777;1508.641541
site13_5;13;5;12.06696;-68.2812;Marine park;0;Low shore;330;201.6;10.62;1.0295;2.583333;6.125018;38.88889;11;6.3752;4.3014;3.3394;4.7674;2.2955;0.921214093;3055.960784;259.1515687
site14_5;14;5;12.0717;-68.2801;Marine park;0;Low shore;330;193.2;4.175;1;0.5;0;0;5;2.3583;3;1.6285;2.1423;1.3514;0.960295783;2434.17274;55.33825517
site15_5;15;5;12.07647;-68.2799;Marine park;0;Low shore;330;189;10.91;1.116;17.08333;2.796203;0;17;6.8865;4.3266;2.9488;5.6526;2.4446;0.988923475;7815.489831;4298.86058
site16_5;16;5;12.0809;-68.2809;Marine park;0;Low shore;330;184.8;8.88;1.0325;1.583333;4.943208;50;12;8.2542;3.8982;3.1264;5.6081;2.8618;0.99180049;1317.796141;116.4592072
site17_5;17;5;12.08536;-68.2822;Marine park;0;Low shore;330;210;9.98;1.057;4.166667;4.627007;50;10;6.4733;3.1277;2.3433;4.1102;2.2593;0.994507721;1967.358465;263.4188017
site18_5;18;5;12.08995;-68.2831;Marine park;0;Low shore;330;214.2;11.47;1.0065;1.833333;2.444867;0;20;11.5842;4.7635;2.9699;7.598;2.7848;0.948363839;7499.753161;4168.283463
site19_5;19;5;12.09459;-68.2837;Marine park;0;Low shore;330;201.6;11.96;1.097;4.25;4.47029;50;12;6.9875;3.3029;1.9918;3.9418;2.1878;0.905695757;4518.194711;1841.631948
site20_5;20;5;12.09985;-68.2853;Marine park;0;Low shore;330;172.2;11.165;1.1695;4.833333;1.648056;0;19;10.6367;4.7917;3.5157;6.861;2.984;0.972735018;2471.016312;573.377564
site21_5;21;5;12.1048;-68.2882;Marine park;0;Low shore;330;109.2;14.755;1.3355;21.16667;20.74486;76.18597;28;16.7741;4.8181;4.3841;7.9847;3.2529;0.77451936;11759.32503;5561.005706
site22_5;22;5;12.10815;-68.2907;Marine park;0;Low shore;330;121.8;10.635;1.1205;4.666667;1.208703;50;15;11.2244;4.3612;3.7241;6.3064;3.3064;0.785827163;3411.599685;570.9978003
site23_5;23;5;12.11175;-68.2939;Marine park;0;Low shore;330;147;12.73;1.28575;23.58333;20.82197;0;16;11.0335;4.3394;2.6913;5.8779;2.6763;0.99323904;4856.729644;1892.655398
site24_5;24;5;12.12566;-68.2872;Marine park;0;Cliff;320;126;10.68;1.044;12.25;7.825332;65.15152;19;10.1692;3.1865;2.8078;5.5137;2.5882;0.883877304;8200.61388;3372.684373
site25_5;25;5;12.13053;-68.2844;Marine park;0;Low shore;320;96.6;13.585;1.133;20.33333;14.81719;58.31008;21;10.0291;4.6753;3.1931;5.6632;2.6742;0.937572982;8407.407937;2920.055685
site26_5;26;5;12.13355;-68.2809;Marine park;0;Low shore;310;63;10.845;1.142;8.25;0.550847;0;27;7.2987;4.1902;1.9389;8.7207;2.0568;0.979118831;69915.50445;49722.19651
site27_5;27;5;12.13686;-68.2748;No fishing zone;1;Low shore;310;84;10.54;1.1215;6.583333;7.942583;49.2126;27;8.688;5.0372;3.2218;8.4259;2.6988;0.850355279;12537.3349;6209.57955
site28_5;28;5;12.14094;-68.2753;No fishing zone;1;Low shore;310;109.2;13.72;1.254;14.58333;18.34419;91.77629;22;9.3986;4.0427;3.8167;5.9403;2.4483;0.934823499;12489.66687;2699.596271
site29_5;29;5;12.14547;-68.2761;No fishing zone;1;Low shore;310;113.4;8.125;1.2595;10.58333;9.094851;90.03571;19;8.5536;4.0895;3.0018;6.2324;2.7027;0.748017222;6339.233464;3434.286962
site30_5;30;5;12.15139;-68.2776;Marine park;0;Low shore;310;100.8;9.89;1;2.166667;0;0;4;2.3426;3.2186;1.5678;2.6871;1.6401;0.876756855;3414.653288;124.2207153
site31_5;31;5;12.15454;-68.2786;Marine park;0;Low shore;310;109.2;5.28;1;2.166667;0;0;8;3.664;2.7713;2.1084;4.9265;2.5282;0.935389431;3799.9973;854.8895901
site32_5;32;5;12.15845;-68.2805;Marine park;0;Low shore;320;92.4;7.755;1.005;1.333333;0.49505;0;15;10.1796;5.3399;4.3483;7.3401;3.9798;0.994803754;4158.880191;970.4391519
site33_5;33;5;12.16195;-68.2833;Marine park;0;Low shore;320;58.8;8.845;1.0725;4.333333;1.309389;84.61538;19;8.763;5.2267;4.0839;7.9911;4.1242;0.984189142;9491.750049;1666.668933
