spl_id,ENV_Year,ENV_Zone,ENV_Depth,ENV_Hab_block,ENV_Hab_scramble,ENV_Hab_rock,ENV_Hab_sand,BIO_Taxo_Ric,BIO_Taxo_Ent,BIO_Func_Ric,BIO_Func_Ent,BIO_Phyl_Ric,BIO_Phyl_Ent,BIO_qual,ES_totbiom,ES_totbiom_fished
2012_E,2012,E,9.6296875,8.96875,37.859375,26.9375,0,17,6.9621,3.8954,2.5512,4.8819,2.1732,1,14071.56385,2018.83366
2012_M,2012,M,6.71010101,3.575757576,19.46464646,0,13.74747475,12,3.1808,4.4199,1.9891,4.9016,1.3945,1,52462.3769,5448.215546
2012_W,2012,W,10.42426471,18.56617647,40.16176471,14.60294118,5.220588235,15,3.9827,3.9148,1.7315,4.6289,1.5051,1,32001.51967,5203.996609
2013_E,2013,E,9.197435897,9.521367521,39.77777778,23.94871795,0,12,4.4002,3.6741,2.0608,4.38,2.0644,1,6687.780345,462.8982934
2013_M,2013,M,6.817460317,2.920634921,19.33333333,0,13.17460317,6,1.843,3.6377,1.3999,3.3936,1.4249,1,2888.603192,213.2175483
2013_W,2013,W,10.89210526,18.96491228,39.64912281,13.61403509,5.666666667,12,5.007,4.0256,2.181,4.3992,1.6452,1,31809.52761,5070.854039
2014_E,2014,E,9.060869565,9.623188406,39.44927536,23.13043478,0,17,6.0233,4.893,2.3698,5.5937,1.955,0.9996984354,17388.3146,1828.909806
2014_M,2014,M,6.778125,3.520833333,2346.09375,0,12.3125,9,4.6782,3.1955,1.9618,4.3579,2.2726,0.9969661095,6379.512132,1058.969297
2014_W,2014,W,10.14489796,18.17006803,40.63945578,15.31972789,5.074829932,14,5.4352,3.8806,1.8154,4.8026,1.7322,0.9987354015,25508.41313,6901.548808
2015_E,2015,E,14.03103448,9.393103448,39.25517241,24.70344828,0,16,8.8409,3.4402,1.9935,4.7707,2.2556,1,16274.12784,6745.646758
2015_M,2015,M,12.46494845,3.525773196,4165.525773,0,14.50515464,12,3.4786,3.8939,1.7392,3.8103,1.6185,0.9981721243,14155.66046,2070.061296
2015_W,2015,W,14.25857143,17.65714286,40.97142857,12.17142857,6.028571429,17,6.3305,4.7901,2.2892,5.825,1.7691,0.999837618,39730.87407,13332.6079
2016_E,2016,E,9.217692308,9.384615385,39.84615385,23.90769231,0,15,3.7231,3.9425,1.4728,4.4659,1.9939,0.9995476995,28679.22127,18168.16169
2016_M,2016,M,6.459223301,3.436893204,6952.048544,0,15.13592233,15,2.9709,3.4316,1.5397,4.6612,1.6453,0.9996709029,19603.87938,1973.719975
2016_W,2016,W,10.54315068,17.64383562,41.02739726,13.05479452,6.136986301,20,4.3253,6.6106,1.6879,6.6351,1.9727,0.999437593,57600.3364,39048.99226
2017_E,2017,E,8.775,10.125,41.47222222,21.15277778,0,16,6.0623,4.7759,2.0518,5.1904,1.7467,1,54649.955,11105.49551
2017_M,2017,M,6.123529412,4.235294118,5925.41328,0,18.47058824,9,4.1557,3.2179,1.7605,3.9,1.8495,1,6424.988633,713.2511811
2017_W,2017,W,10.29407895,18.47368421,40.30263158,15.19736842,5.078947368,15,5.8466,3.9066,1.6616,4.7357,1.9832,1,53132.4377,30381.11783
2019_E,2019,E,9.441509434,9.20754717,37.62264151,25.88679245,0,11,4.7747,4.6466,2.5082,4.8026,1.6721,1,9054.541755,516.2327018
2019_M,2019,M,6.416326531,3.87755102,18.65306122,0,15.71428571,11,2.3358,3.6055,1.4926,4.2183,1.3509,0.9999786427,122761.4036,5730.19682
2019_W,2019,W,10.57659574,16.93617021,41.82978723,14.29787234,6.723404255,8,4.2196,3.5673,1.5182,3.3715,1.755,1,1923.105393,501.4255436
2020_E,2020,E,8.787356322,10.02298851,40.34482759,21.37931034,0,16,4.6819,4.2527,1.7153,5.3002,1.4851,0.9995210886,27085.65301,9012.922096
2020_M,2020,M,6.129268293,4.682926829,18.14634146,0,16.53658537,10,2.0914,2.7032,1.2799,3.5348,1.2234,1,36747.14527,32191.74238
2020_W,2020,W,9.73164557,18.3164557,40.53164557,15.44303797,4.303797468,17,3.8101,5.6914,1.6917,5.9431,1.5797,1,19447.27292,3334.340484
2021_E,2021,E,9.813114754,8.62295082,38.55737705,27.70491803,0,17,5.4196,3.6089,1.9133,5.3008,1.8345,1,9543.318073,2499.836935
2021_M,2021,M,6.574117647,3.576470588,19.02352941,0,14.50588235,18,9.3265,3.8845,2.5347,5.166,2.236,1,22157.73071,9200.391904
2021_W,2021,W,9.4203125,20.203125,38.8125,19.4375,2.3125,19,7.1709,4.3078,2.313,5.8036,2.3544,0.9994841168,3579.813889,1256.991687
