spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_1,-10.61,54.58,233,13.84999359,0.269932926,56.31001663,35.21400072,476.9993286,Sandy_mud,13,3.778,4.6449,2.8898,6.3281,2.2201,0.999991942,248.198,190.796
IR_2,-10.095,54.756,116,13.91999359,0.664276302,43.67005539,35.24100072,836.9979858,Seabed,19,5.505,4.9716,2.2916,7.2888,1.8627,1,788.358,746.566
IR_3,-10.08,55.069,238,13.67999359,0.352930516,51.84004593,35.17300072,566.9985962,Muddy_sand,16,7.2533,4.7606,3.7029,6.5433,2.5496,1,263.392,121.716
IR_4,-8.338,54.585,35,14.64999357,3.026923656,48.3821106,32.45600059,648.8101196,Sand,16,3.0755,5.1241,2.2627,7.5577,1.8814,0.999997146,5255.49125,5160.63875
IR_5,-8.517,54.519,59,14.61999357,1.564477921,43.4800148,34.46900069,882.9991455,Sand,18,5.4706,5.5829,3.0962,7.5159,2.9987,1,1106.239224,983.1637069
IR_6,-8.711,54.602,82,14.55999357,0.692676127,49.74999619,34.47500069,655,Sand,20,3.6414,6.0927,1.974,7.9401,1.9736,1,1646.791,1599.492
IR_7,-8.626,54.869,55,14.46999357,1.463371634,41.36003876,34.53900069,953.9983521,Sand,14,1.6297,5.4055,1.4247,6.9421,1.3437,1,1756.319721,1650.185928
IR_8,-9.565,55.244,112,13.49999359,0.295692414,54.38006973,35.15900072,368.9979858,Coarse_substrate,21,2.5597,5.6786,1.9854,7.9603,1.6726,1,3131.710659,661.6094824
IR_9,-9.535,55.49,264,13.3499936,0.249619976,55.46006775,35.15700072,338.9978333,Muddy_sand,16,7.9401,4.9884,3.0925,6.2027,2.1728,1,582.064,446.388
IR_10,-8.323,55.823,147,13.1999936,0.308854222,59.44996643,35.14700072,370.9982605,Muddy_sand,22,3.3718,5.4617,2.5537,9.5749,2.2675,1,4442.236,4114.388
IR_11,-7.938,55.866,151,13.2899936,0.220192522,59.96991348,35.13300072,396.999054,Muddy_sand,22,4.603,5.763,2.5385,8.8531,2.0794,1,3970.411598,3909.805884
IR_12,-7.81,55.997,165,13.2299936,0.283774853,60.09990692,35.14300072,386.9986267,Sandy_mud,23,4.8061,5.5083,2.0422,8.3412,1.6326,1,592.718,574.588
IR_13,-7.753,56.211,116,13.0499936,0.373005033,53.90987015,,437.0004272,Coarse_substrate,19,2.6235,4.9074,1.4793,7.2187,1.2363,0.999796631,4130.418,3939.102
IR_14,-8.24,56.199,155,12.85999361,0.291439742,62.35978317,,457.9973755,Sand,28,8.2197,6.3359,3.4001,10.6587,2.7104,1,471.3982493,397.4864309
IR_15,-8.404,56.018,145,12.92999361,0.316202283,62.08988953,35.13200072,448.9959106,Mixed_sediment,26,4.4553,6.012,2.5259,10.1506,2.227,1,3711.058,3546.67
IR_16,-8.807,55.993,137,12.92999361,0.386315644,61.41997147,35.16400072,494.9934082,Mixed_sediment,24,2.5563,5.3759,2.0884,8.8976,1.7286,1,1647.884,579.58
IR_17,-8.771,56.155,130,12.89999361,0.383053094,63.86990356,,508.9921265,Mixed_sediment,22,3.3033,5.513,2.3763,7.8273,1.9325,1,1191.148,522.036
IR_18,-9.18,56.199,244,12.92999361,0.31191811,64.00992584,,445.993988,Muddy_sand,16,4.7082,4.4834,3.357,6.203,2.235,1,955.732,461.928
IR_19,-8.275,56.393,168,12.85999361,0.497956485,49.42001343,,627.9921875,Sand,22,3.2917,5.2393,1.8218,7.9396,1.5948,1,1874.352,1795.196
IR_20,-8.103,56.292,177,12.89999361,0.746426404,45.02013397,,859.9851685,Muddy_sand,22,3.5842,5.835,2.188,8.9847,1.9039,1,3526.103363,3440.893363
IR_21,-7.624,56.34,157,13.2199936,0.539165914,39.09030533,,678.9932251,Sand,22,4.9182,5.6229,1.7791,8.4043,1.4461,1,3067.276,3030.796
IR_22,-7.297,56.212,95,13.59999359,0.736264586,39.51023865,,851.9827881,Sand,23,4.5995,5.7749,2.5089,9.1338,1.9244,1,1137.915422,1093.271551
