spl_id;ENV_spl_location;ENV_spl_time;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
CEN_1;Cap_Enrage_Nord;2013_11_19;42;20.9511;6.4066;5.8357;15.1693;5.2646;0.992304116;18631.32887;4060.753627
CG_1;Corps_de_Garde;2013_11_25;43;22.4072;6.5793;5.1158;16.58;5.2968;0.996296305;33503.86615;11097.06174
CO_1;Caye_Olbian;2013_01_17;41;12.5429;5.3132;2.6624;13.8103;2.9275;0.999104374;29705.31141;4696.686565
CO_2;Caye_Olbian;2013_02_08;45;13.881;6.3023;2.9794;14.9503;2.6434;0.999646744;44104.83914;5170.706411
CO_3;Caye_Olbian;2013_11_23;53;17.3197;6.6151;3.3922;16.9881;3.2591;0.999589886;66418.46268;14971.78208
CO_4;Caye_Olbian;2016_12_12;51;10.4859;6.8677;3.5666;17.452;2.8069;0.986934429;50595.20079;8178.207597
CO_5;Caye_Olbian;2019_05_20;50;17.4632;5.597;3.3413;16.524;3.441;0.998930943;52839.5171;11510.95604
CP_1;Caye_Pothiau;2013_11_18;35;16.008;6.7436;4.0259;13.7335;4.092;0.994203941;9447.54534;2771.797488
CS_1;Cap_Salomon;2013_11_22;50;20.7192;5.9783;4.3123;16.1034;4.1055;0.998082226;36151.07261;11745.67086
FB_1;Fond_Boucher;2002_11_29;6;5.023;2.5367;1.7335;2.9961;1.8402;1;1109.273201;483.8730998
FB_10;Fond_Boucher;2006_12_02;11;5.878;2.8157;2.48;4.5937;2.4372;1;3627.416389;676.4202473
FB_11;Fond_Boucher;2007_07_14;14;5.7427;3.388;2.6229;4.9404;2.3075;0.994463346;5628.052439;659.1651266
FB_12;Fond_Boucher;2007_12_12;15;8.0074;2.6248;2.3038;4.9833;2.3553;0.960309161;6412.629018;2169.127491
FB_13;Fond_Boucher;2008_07_21;16;9.0872;2.8673;2.585;5.7627;2.5665;1;7364.053262;2346.061426
FB_14;Fond_Boucher;2008_12_04;17;6.0418;2.763;2.0901;5.3158;1.9817;0.981033865;13419.84713;2133.732257
FB_19;Fond_Boucher;2013_01_18;28;5.6902;6.0686;1.861;11.1555;1.8103;0.99318498;26737.15618;1583.228641
FB_2;Fond_Boucher;2003_06_01;10;7.3098;2.2737;1.7811;3.8335;1.9401;1;1649.789634;753.8387897
FB_20;Fond_Boucher;2013_02_14;36;9.5861;5.8212;2.6663;13.6693;2.709;0.990830329;23659.6584;2055.719508
FB_21;Fond_Boucher;2013_11_19;49;9.4146;6.4823;2.7876;17.5254;2.9045;0.996051226;27204.39918;2478.868123
FB_22;Fond_Boucher;2016_11_23;41;15.5214;6.5695;4.2957;14.3803;3.9072;0.998757055;32107.03971;6301.793672
FB_23;Fond_Boucher;2019_05_17;45;7.768;6.2764;2.3023;15.1276;2.3171;0.994697712;28446.78702;1907.206696
FB_3;Fond_Boucher;2003_11_21;17;1.6128;3.0833;1.1049;5.7479;1.1072;1;53806.67673;702.0095476
FB_4;Fond_Boucher;2004_07_03;13;2.8555;3.324;1.8209;5.2316;1.6487;1;5638.129695;604.5900039
FB_5;Fond_Boucher;2004_11_27;12;3.7666;3.9679;2.3331;5.3839;1.9398;1;4997.032145;482.3632694
FB_6;Fond_Boucher;2004_11_28;12;6.4234;3.4203;2.2992;4.2384;1.995;0.966706244;8580.684257;6067.469422
FB_7;Fond_Boucher;2005_07_09;19;11.1368;3.868;3.7067;6.0535;3.0737;1;1925.264511;458.348932
FB_8;Fond_Boucher;2005_12_03;12;5.205;3.3954;1.8902;4.5256;1.7242;0.999125526;7579.787178;775.0765694
FB_9;Fond_Boucher;2006_07_14;16;7.5668;2.8558;2.0212;5.0005;2.2975;1;4691.906757;1123.588063
FB_15;Fond_Boucher;2009_05_01;15;8.7311;3.7173;3.089;5.4035;2.751;0.978554233;4027.465875;1340.978782
FB_16;Fond_Boucher;2009_11_18;18;10.3168;3.0925;2.7334;6.1283;2.7907;1;4795.570622;2223.842917
FB_17;Fond_Boucher;2010_07_09;20;3.4556;4.2987;2.1119;6.6059;1.7766;1;20875.72875;3468.556442
FB_18;Fond_Boucher;2010_11_25;21;14.2163;3.2128;3.0258;5.8597;2.9642;1;4309.184138;1725.057491
FBE_1;Fond_Bellemare;2013_11_20;40;15.7223;5.1932;4.1783;13.0022;4.0934;0.977862533;22341.3189;3891.192954
GC_1;Grande_Caye;2013_11_27;38;16.3958;6.7516;4.0798;12.8008;3.1613;1;16748.53831;7338.359963
GC_1T;Plaeau_Jardin_Tropical;2013_11_26;1;1;1;1;1;1;1;1889.67607;1889.67607
IR_1;Ilet_a_Rats;2003_11_22;12;5.6859;2.2243;1.364;3.8207;1.9474;1;2419.489478;868.909125
IR_10;Ilet_a_Rats;2008_07_25;14;6.4863;2.7865;2.1833;4.5476;2.3992;1;6097.526366;2203.836011
IR_11;Ilet_a_Rats;2008_12_03;13;6.8539;2.2516;1.653;4.1923;2.0926;1;13839.58863;2474.163447
IR_12;Ilet_a_Rats;2009_04_19;14;9.0784;2.2094;1.776;4.6346;2.5325;1;11342.36476;4545.228521
IR_13;Ilet_a_Rats;2009_10_25;12;4.8022;2.3079;1.3579;4.1845;1.9229;1;11065.3824;4481.254425
IR_14;Ilet_a_Rats;2010_07_12;15;4.8675;2.2107;1.2993;4.5005;1.7879;1;11405.51395;3622.141431
IR_15;Ilet_a_Rats;2010_12_12;17;7.4682;2.8536;1.7583;4.8165;2.3884;1;5860.527559;1990.308013
IR_16;Ilet_a_Rats;2014_08_27;27;4.0996;6.5676;2.3556;8.9093;2.0881;1;32118.06104;715.8847441
IR_17;Ilet_a_Rats;2017_02_10;20;7.6204;3.504;2.4452;7.2262;2.7181;0.998323386;7934.098979;1989.073515
IR_18;Ilet_a_Rats;2019_05_16;28;6.6471;5.1137;1.8568;10.1989;2.1419;1;30271.16921;3017.985989
IR_2;Ilet_a_Rats;2004_07_10;9;3.0195;2.196;1.145;3.2246;1.5349;1;3016.896011;746.6801503
IR_3;Ilet_a_Rats;2004_12_06;11;7.1561;2.5237;1.6394;4.4304;2.2578;1;2002.98008;530.1102364
IR_4;Ilet_a_Rats;2005_06_25;15;9.2013;3.3344;1.5573;5.2057;2.2119;1;1515.72038;601.6154712
IR_5;Ilet_a_Rats;2005_11_27;12;7.4375;2.5763;1.3332;4.1651;1.8531;1;6559.26546;3258.300774
IR_6;Ilet_a_Rats;2006_07_15;12;4.8654;2.4123;1.5534;3.876;1.8542;1;9925.011107;3278.863251
