spl_id;spl_name;spl_longitude;spl_latitude;spl_depth;spl_habitat;spl_area;spl_taxa_weight;spl_methodology;spl_GIS;spl_time;spl_obs;spl_management;coral_cover;macroalgae_cover;turf_cover;other_cover;geomorphology;exposure
PB_1;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2001_11_24;YB;No-take area;33;16.7;39.9;10.6;fringing_reef;saint_lucia_channel
PB_2;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2002_06_19;YB;No-take area;34.8;36.2;13.9;15.1;fringing_reef;saint_lucia_channel
PB_3;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2002_11_30;YB;No-take area;33.3;21.3;29;16.5;fringing_reef;saint_lucia_channel
PB_4;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2003_06_29;YB;No-take area;39.9;19.2;29.8;11;fringing_reef;saint_lucia_channel
PB_5;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2003_11_23;YB;No-take area;38;25.2;26.3;10.4;fringing_reef;saint_lucia_channel
PB_6;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2004_07_04;YB;No-take area;31.6;31;25.6;11.7;fringing_reef;saint_lucia_channel
PB_7;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2004_11_28;YB;No-take area;30.7;29.4;30.6;9.3;fringing_reef;saint_lucia_channel
PB_8;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2005_07_11;CP;No-take area;30.2;26.1;29.7;14;fringing_reef;saint_lucia_channel
PB_9;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2005_12_04;CP;No-take area;31.6;22.3;39.8;6.3;fringing_reef;saint_lucia_channel
PB_10;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2006_07_15;CP;Fishing;23.2;36.7;30.9;9.1;fringing_reef;saint_lucia_channel
PB_11;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2006_12_03;CP;No-take area;22.7;34.7;34.6;8;fringing_reef;saint_lucia_channel
PB_12;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2007_07_15;CP;Fishing;17.4;45.8;23.8;13.1;fringing_reef;saint_lucia_channel
PB_13;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2007_12_08;YR;No-take area;16.4;52.5;22;9;fringing_reef;saint_lucia_channel
PB_14;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2008_07_24;YR;No-take area;17.1;50.3;19.4;13.2;fringing_reef;saint_lucia_channel
PB_15;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2008_12_08;YR;Fishing;18.7;45.7;17;18.7;fringing_reef;saint_lucia_channel
PB_16;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2009_04_13;YR;No-take area;15.5;46.1;19.8;18.7;fringing_reef;saint_lucia_channel
PB_17;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2009_11_02;YR;Fishing;19.6;42.4;22.8;15.2;fringing_reef;saint_lucia_channel
PB_18;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2010_07_10;PD;No-take area;15.3;47.5;19.4;17.8;fringing_reef;saint_lucia_channel
PB_19;Pointe_Borgnesse;-60.8999427;14.4483652;10.3;Coral_reef;300m2;Biomass (g/300m2);Belt transect;;2010_12_09;PD;No-take area;14.9;44.3;27.5;13.4;fringing_reef;saint_lucia_channel
