spl_id;ENV_spl_site;ENV_spl_location;ENV_spl_longitude;ENV_spl_latitude;depth;maerl;time;reserve;fishing_effort;TaxR;TaxE;FunR;FunE;PhyR;PhyE;BIOq;nbsp;densf
MLR2;maerl_1;cabo_palos;0.6756;37.67275;44.05;0.5;2009;1;1;48;5.0066;5.6859;2.6051;24;3.5215;0.997362792;1;0.0096012
MLR4;maerl_1;cabo_palos;0.665533333;37.68766667;50.4;0.5;2009;1;1;29;2.559;5.7898;1.7872;18.1667;2.2141;1;0;0
MMR2;maerl_2;cabo_palos;0.6836;37.70981667;35.45;0.5;2009;0;2;32;3.4527;5.6593;1.8825;17.8333;2.4521;0.969194313;2;0.00648
MMR4;maerl_2;cabo_palos;0.6699;37.71881667;44.15;0.5;2009;0;2;44;7.7312;6.5181;2.9486;25.5;4.9455;0.982069389;3;0.01404
MMR6;maerl_2;cabo_palos;0.668766667;37.70091667;48.5;0.5;2009;0;2;43;30.1283;5.9421;4.2529;25;11.0937;0.973684211;4;0.0513
MHR2;maerl_3;cartagena;0.824;37.536;50.5;0.25;2009;0;3;22;17.2756;6.1923;4.8962;13.5;9.2313;0.97318189;3;0.041796
MHR4;maerl_3;cartagena;0.810666667;37.52833333;50.7;0.25;2009;0;3;20;16.2118;6.4175;4.149;13.3333;7.6285;0.909481669;0;0
CLR6;maerl_4;cap_creus;3.31125;42.30183333;62.65;0.1;2009;1;0;19;13.9318;5.73;3.271;12.6667;6.5421;0.963662791;2;0.00108
CMR1;maerl_5;cap_creus;3.314783333;42.30605;71.25;0.1;2009;0;2;27;17.8747;6.7826;3.9912;18;9.0916;0.880952381;4;0.0081
CMR3;maerl_5;cap_creus;3.31295;42.30925;64.15;0.1;2009;0;2;20;8.616;7.1117;3.6818;13.5;4.5657;0.918478261;6;0.01404
CMR4;maerl_6;cap_creus;3.303216667;42.26731667;81.45;0.1;2009;0;2;13;4.2572;5.9657;2.5846;9;2.6699;1;3;0.00162
CMR5;maerl_6;cap_creus;3.299983333;42.27036667;77.15;0.1;2009;0;2;15;9.1379;6.4353;3.7651;10.6667;5.0575;0.912621359;5;0.00324
CMR6;maerl_6;cap_creus;3.299983333;42.27628333;68;0.1;2009;0;2;26;10.1067;6.401;3.0793;15.8333;4.5336;0.923809524;3;0.0189
CHR2;maerl_7;cap_creus;3.299283333;42.25551667;87.6;0.1;2009;0;3;12;5.9091;4.8301;2.4848;8.6667;3.2647;0.988344988;1;0.00108
CHR3;maerl_7;cap_creus;3.289066667;42.25456667;76.1;0.1;2009;0;3;26;14.7926;7.5098;5.9364;16.5;8.2656;0.985639687;6;0.013068
CHR4;maerl_8;cap_creus;3.3216;42.29358333;82.7;0.1;2009;0;3;17;11.9808;8.0398;5.1323;12.6667;7.1933;0.953488372;3;0.004628571
CHR5;maerl_8;cap_creus;3.327383333;42.30478333;80.95;0.1;2009;0;3;15;6.9665;5.3725;2.8867;10.1667;3.5776;0.982758621;2;0.00108
CHR6;maerl_8;cap_creus;3.3368;42.31051667;84.6;0.1;2009;0;3;19;9.6128;7.9416;3.6901;13.8333;5.5388;0.982011916;6;0.00504
FMR1;maerl_9;cartagena;0.740306667;37.55840667;57.2;0.5;2014;0;3;28;12.254;6.1104;3.3168;17.8333;6.1531;0.993243243;1;0.01215
FMR3;maerl_9;cartagena;0.758333333;37.54288167;63.8;0.5;2014;0;3;30;22.955;6.7678;4.5591;18;10.2188;0.966280604;1;0.0138
FMR4;maerl_9;cartagena;0.720433333;37.569905;61.9;0.5;2014;0;3;28;11.4472;6.8884;3.1247;18;6.8686;0.983050847;3;0.010368
FMR6;maerl_9;cartagena;0.755841667;37.558935;64.9;0.5;2014;0;3;39;12.6838;6.5752;3.5792;23.1667;6.9589;0.925566343;2;0.092232
CAMAL09_5;maerl_11;canal_menorca;3.1617;39.9797;71;0.5;2009;0;1;19;16.2833;4.7441;3.2268;12.6667;7.7605;0.8458498;2;0.06580104
CAMAL09_6;maerl_12;canal_menorca;3.2315;40.0035;90;0.5;2009;0;1;25;17.6722;5.6815;3.5115;15.3333;7.7377;0.931999991;0;0
CAMAL09_10;maerl_13;canal_menorca;3.5648;39.8302;70;0.5;2009;0;0;26;19.1009;5.1847;2.4088;16.3333;8.0137;0.894273113;0;0
CAMAL09_12;maerl_14;canal_menorca;3.5687;39.7788;62;0.5;2009;0;3;17;11.5746;3.8951;2.8771;11.8333;7.4917;0.963855418;2;0.06633098
CAMAL09_19;maerl_15;canal_menorca;3.501;39.567;69;0.5;2009;0;3;18;10.653;5.4877;2.6808;13;6.4094;1;0;0
CAMAL09_20;maerl_16;canal_menorca;3.5008;39.5923;66;0.5;2009;0;3;24;15.3606;3.6495;1.6039;13.1667;5.0539;0.968934918;2;0.04447771
CAMAL09_22;maerl_17;canal_menorca;3.5;39.678;50;0.5;2009;0;3;25;11.1901;4.9624;1.9324;13.8333;4.9485;0.988716501;1;0.04952171
CAMAL09_24;maerl_18;canal_menorca;3.4898;39.6488;47;0.5;2009;0;3;16;9.9284;5.038;2.9015;11.3333;6.2632;0.915708822;2;0.01846006
CAMAL09_26;maerl_19;canal_menorca;3.562;39.5682;81;0.5;2009;0;3;31;14.5473;5.2978;2.2763;18.1667;5.6172;0.977987421;1;0.00443202
CAMAL09_30;maerl_20;canal_menorca;3.5672;39.7228;61;0.5;2009;0;3;27;12.8124;5.6042;2.1383;15.5;5.8906;0.796116496;4;0.05726971
CAMAL09_35;maerl_21;canal_menorca;3.8515;40.1012;73;0.5;2009;0;2;16;8.7944;4.8917;2.0637;11.1667;5.1927;0.973913044;2;0.01374806
